archetype_key,count,share_pct
[overlap>=1+dup>=1+lohi=1] [0E5O] [sum=Low|spread=6-7] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=0] [2E3O] [sum=High|spread=0-3] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=0] [3E2O] [sum=High|spread=0-3] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=0] [3E2O] [sum=High|spread=0-3] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=0] [3E2O] [sum=Very Low|spread=0-3] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=0] [3E2O] [sum=Very Low|spread=4-5] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=0] [4E1O] [sum=High|spread=0-3] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=0] [4E1O] [sum=Very Low|spread=0-3] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=1] [0E5O] [sum=Low|spread=6-7] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [0E5O] [sum=Low|spread=6-7] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Mid|spread=4-5] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Low|spread=4-5] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Very Low|spread=8-9] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Very Low|spread=4-5] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Mid|spread=6-7] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Mid|spread=4-5] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Very Low|spread=4-5] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Mid|spread=6-7] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Very Low|spread=8-9] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Mid|spread=6-7] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Mid|spread=8-9] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Mid|spread=8-9] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Very Low|spread=4-5] | struct=double,1,0.51
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Very Low|spread=6-7] | struct=triple,1,0.51
[overlap>=1+dup>=1+lohi=1] [5E0O] [sum=Mid|spread=6-7] | struct=double_double,1,0.51
[overlap>=1+dup>=1+lohi=1] [5E0O] [sum=Very Low|spread=6-7] | struct=double,1,0.51
